run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_073 280 4 80.0000 0.7-1 18.0000 12.6000 32.4800 700 0 1.50000 2008-02-27T19:37 46 494 0.775000 2008-02-29T22:04:30.000 10.2550 -10.2550 0.137204 0.158430
run_073 290 13 70.0000 0.7-1 18.0000 12.5400 33.8500 675 21 1.00333 2008-02-27T19:37 46 498 0.866667 2008-03-01T01:04:30.000 7.25333 -7.25333 0.367272 0.383603
run_073 300 20 60.0000 0.7-1 18.0000 12.1900 34.6375 650 36 0.654500 2008-02-27T19:37 46 500 0.650000 2008-03-01T04:32:00.000 3.79700 -3.79700 0.492393 0.505185
run_073 310 26 50.0000 0.7-1 18.0000 11.6000 35.4100 625 48 0.243462 2008-02-27T19:37 46 515 0.200000 2008-03-01T07:52:00.000 0.464231 -0.464231 0.330770 0.337321
run_073 320 23 40.0000 0.7-1 18.0000 10.6700 33.6700 629 45 0.296957 2008-02-27T19:37 46 528 0.200000 2008-03-01T06:13:31.304 2.10522 -2.10522 0.380833 0.389392
run_073 330 19 30.0000 0.7-1 18.0000 9.39000 31.5700 635 43 0.371579 2008-02-27T19:37 46 538 0.100000 2008-03-01T04:51:44.211 3.46842 -3.46842 0.147978 0.152033
run_073 340 20 20.0000 0.7-1 18.0000 7.77000 27.7625 643 37 0.329000 2008-02-27T19:37 46 545 0.0550000 2008-03-01T04:01:30.000 4.30700 -4.30700 0.310308 0.318369
run_073 350 17 10.0000 0.7-1 18.0000 5.81765 22.1218 642 40 0.334118 2008-02-27T19:37 46 542 0.0176471 2008-03-01T04:10:10.588 4.15882 -4.15882 0.759558 0.782934
run_027 270 24 90.0000 0.7-1 18.0000 12.6000 30.9850 637 43 0.619583 2008-03-02T08:54 47 468 0.116667 2008-03-04T20:04:25.000 24.6208 -24.6208 0.732114 0.747860
run_027 280 24 80.0000 0.7-1 18.0000 12.4700 32.9050 637 43 0.752917 2008-03-02T08:54 46 430 0.262500 2008-03-04T20:40:40.000 24.0158 -24.0158 0.787337 0.804271
run_027 290 28 70.0000 0.7-1 18.0000 12.4100 34.4100 625 50 0.687143 2008-03-02T08:54 46 390 0.267857 2008-03-04T23:24:42.857 21.2811 -21.2811 1.00898 1.02749
run_027 300 28 60.0000 0.7-1 18.0000 12.2300 34.6200 550 50 0.543571 2008-03-02T08:54 46 411 0.428571 2008-03-05T07:08:38.571 13.5489 -13.5489 0.638913 0.650637
run_027 310 28 50.0000 0.7-1 18.0000 11.7400 34.7925 550 50 0.283214 2008-03-02T08:54 47 433 0.528571 2008-03-05T07:28:17.143 13.2218 -13.2218 0.296552 0.301994
run_027 320 30 40.0000 0.7-1 18.0000 10.5660 33.6700 581 55 0.269667 2008-03-02T08:54 46 457 0.446667 2008-03-05T03:30:44.000 17.1823 -17.1823 0.238505 0.242582
run_027 330 31 30.0000 0.7-1 18.0000 9.20097 31.3081 609 56 0.251613 2008-03-02T08:54 45 479 0.374193 2008-03-05T00:09:07.742 20.5439 -20.5439 0.246402 0.250475
run_027 340 26 20.0000 0.7-1 18.0000 7.71500 27.7600 620 49 0.231923 2008-03-02T08:54 46 501 0.273077 2008-03-04T21:27:43.846 23.2346 -23.2346 0.569759 0.581042
run_027 350 23 10.0000 0.7-1 18.0000 5.79000 21.8161 447 68 0.256957 2008-03-02T07:37 46 537 0.100000 2008-03-04T20:02:39.130 24.6526 -24.6526 0.812464 0.830724
run_040 270 31 90.0000 0.7-1 18.0000 12.4400 30.5903 375 61 0.333871 2008-03-31T19:37 46 517 0.219355 2008-04-03T13:07:19.355 12.1574 -12.1574 1.16022 1.17940
run_040 280 25 80.0000 0.7-1 18.0000 12.6200 32.3500 413 50 0.211600 2008-03-31T19:37 46 516 0.300000 2008-04-03T10:58:12.000 14.3084 -14.3084 0.628284 0.641240
run_040 290 14 70.0000 0.7-1 18.0000 12.4200 33.6900 551 68 0.173571 2008-03-31T19:37 46 516 0.300000 2008-04-03T09:44:51.429 15.5314 -15.5314 0.315456 0.327364
run_040 300 25 60.0000 0.7-1 18.0000 11.7900 34.2500 634 46 0.318800 2008-03-31T19:37 45 509 0.300000 2008-04-03T08:36:36.000 16.6696 -16.6696 0.191635 0.195586
run_040 310 20 50.0000 0.7-1 18.0000 11.6200 34.7600 650 36 0.684000 2008-03-31T20:54 46 467 0.665000 2008-04-03T07:01:00.000 18.2565 -18.2565 0.498019 0.510956
run_040 320 28 40.0000 0.7-1 18.0000 10.4450 33.7700 600 50 0.506071 2008-03-31T20:54 46 458 0.396429 2008-04-03T12:49:47.143 12.4475 -12.4475 0.505072 0.514340
run_040 330 28 30.0000 0.7-1 18.0000 9.11000 30.9600 325 50 0.340714 2008-03-31T20:54 45 476 0.303571 2008-04-03T21:50:32.143 3.43536 -3.43536 0.734300 0.747774
run_040 340 31 20.0000 0.7-1 18.0000 7.60452 27.2690 334 56 0.468710 2008-03-31T20:54 46 494 0.229032 2008-04-03T20:06:19.355 5.17290 -5.17290 1.15435 1.17343
run_040 350 31 10.0000 0.7-1 18.0000 5.82516 21.6313 334 56 0.472258 2008-03-31T20:54 47 511 0.125806 2008-04-03T19:18:15.484 5.97419 -5.97419 1.80398 1.83380
run_062 270 4 90.0000 0.7-1 18.0000 12.7000 31.0900 700 0 1.48750 2008-04-03T23:37 48 565 0.250000 2008-04-06T01:22:00.000 7.14500 -7.14500 0.382982 0.442229
run_062 280 6 80.0000 0.7-1 18.0000 12.8400 32.3000 691 12 1.41167 2008-04-03T23:37 47 555 0.100000 2008-04-06T02:13:40.000 6.28500 -6.28500 0.328773 0.360153
run_062 290 8 70.0000 0.7-1 18.0000 12.6800 34.0925 687 13 1.33625 2008-04-03T23:37 47 545 0.162500 2008-04-06T02:54:30.000 5.60750 -5.60750 0.216029 0.230945
run_062 300 11 60.0000 0.7-1 18.0000 12.1900 34.6300 687 13 1.22875 2008-04-03T23:37 46 525 0.150000 2008-04-06T03:34:30.000 4.93750 -4.93750 0.216030 0.230945
run_062 310 12 50.0000 0.7-1 18.0000 11.4300 33.8300 675 21 1.10250 2008-04-03T23:37 46 515 0.300000 2008-04-06T05:07:00.000 3.39833 -3.39833 0.366170 0.382452
run_062 320 13 40.0000 0.7-1 18.0000 10.2900 33.2700 671 24 0.991538 2008-04-03T23:37 45 489 0.261538 2008-04-06T06:26:13.846 2.07462 -2.07462 0.425126 0.442486
run_062 330 19 30.0000 0.7-1 18.0000 9.10948 30.9800 652 35 0.815263 2008-04-04T00:54 46 474 0.394737 2008-04-06T09:13:12.632 0.721053 0.708421 0.590684 0.606871
run_062 340 28 20.0000 0.7-1 18.0000 7.59500 27.4661 608 55 0.293571 2008-04-04T00:54 46 483 0.653572 2008-04-06T15:49:49.286 7.31964 7.31964 0.275337 0.280390
run_062 350 32 10.0000 0.7-1 18.0000 5.80500 21.5650 337 58 0.447187 2008-04-04T00:54 46 499 0.0156250 2008-04-06T23:04:41.250 14.5663 14.5663 1.49105 1.51491
run_057 270 17 90.0000 0.7-1 18.0000 12.0600 30.2747 658 31 1.00353 2008-06-28T04:54 46 404 0.441177 2008-06-30T15:08:42.353 26.8459 -26.8459 0.897140 0.924750
run_057 280 18 80.0000 0.7-1 18.0000 12.2400 32.1389 655 33 0.581667 2008-06-28T04:54 46 395 0.861111 2008-06-30T18:19:33.333 23.6656 -23.6656 0.738310 0.759715
run_057 290 2 70.0000 0.7-1 18.0000 12.2100 33.2700 400 0 1.10000 2008-06-28T04:54 46 399 NaN 2008-07-01T15:14:00.000 2.76000 -2.76000 0.00000 NaN
run_057 300 24 60.0000 0.7-1 18.0000 11.9000 34.2100 537 43 0.312917 2008-06-28T04:54 46 404 0.800000 2008-07-01T08:04:50.000 9.91000 -9.91000 0.440398 0.449870
run_057 310 22 50.0000 0.7-1 18.0000 11.3300 33.7800 318 40 0.403182 2008-06-28T04:54 46 410 0.0863637 2008-07-01T16:00:21.818 1.98364 -1.98364 0.563500 0.576761
run_057 320 22 40.0000 0.7-1 18.0000 10.2455 32.6032 312 41 0.396364 2008-06-28T04:54 46 415 0.100000 2008-07-01T16:11:30.000 1.79909 -1.79909 0.658627 0.674127
run_057 330 22 30.0000 0.7-1 18.0000 9.00909 30.2100 312 41 0.450455 2008-06-28T04:54 46 418 0.0909091 2008-07-01T16:14:40.909 1.74682 -1.74682 0.565930 0.579247
run_057 340 20 20.0000 0.7-1 18.0000 7.36000 26.3900 300 36 0.410500 2008-06-28T04:54 46 429 0.0400000 2008-07-01T17:28:00.000 0.900500 -0.525500 1.04216 1.06923
run_057 350 21 10.0000 0.7-1 18.0000 5.63524 20.9900 303 38 0.446191 2008-06-28T04:54 46 435 0.0285714 2008-07-01T16:08:54.286 1.99286 -1.84429 1.64711 1.68778
run_043 270 26 90.0000 0.7-1 18.0000 12.0000 30.0962 505 48 0.291923 2008-07-05T00:54 46 391 0.200000 2008-07-08T09:18:13.846 8.45269 -8.45269 1.14073 1.16332
run_043 280 25 80.0000 0.7-1 18.0000 12.1500 31.7320 497 46 0.358800 2008-07-05T00:54 46 387 0.196000 2008-07-08T09:54:48.000 7.84280 -7.84280 0.761486 0.777188
run_043 290 24 70.0000 0.7-1 18.0000 12.0400 33.0900 487 43 0.374583 2008-07-05T00:54 45 383 0.195833 2008-07-08T10:48:35.000 6.94708 -6.94708 0.356785 0.364459
run_043 300 16 60.0000 0.7-1 18.0000 11.7500 33.4800 325 31 0.231875 2008-07-05T00:54 46 388 0.100000 2008-07-08T14:35:52.500 3.15813 -3.15813 0.249930 0.258127
run_043 310 22 50.0000 0.7-1 18.0000 11.2000 33.4600 309 45 0.401818 2008-07-05T00:54 46 399 0.340909 2008-07-08T15:24:27.273 2.34909 -2.34909 1.51511 1.55076
run_043 320 20 40.0000 0.7-1 18.0000 10.3600 32.3800 300 36 0.365500 2008-07-05T00:54 46 417 0.220000 2008-07-08T14:10:30.000 3.58100 -3.58100 0.715786 0.734381
run_043 330 24 30.0000 0.7-1 18.0000 8.88000 30.2000 312 43 0.527500 2008-07-05T00:54 45 433 0.170833 2008-07-08T11:26:45.000 6.31125 -6.31125 0.872942 0.891717
