run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_073 320 76 40.0000 0.7-1 50.0000 11.9225 35.4400 475 137 0.287895 2008-02-27T17:02 48 956 0.450000 2008-02-29T08:57:37.105 2.05184 2.05184 0.973782 0.980253
run_073 330 76 30.0000 0.7-1 50.0000 11.1550 33.5200 475 137 0.298026 2008-02-27T17:02 48 1024 0.528947 2008-02-29T07:52:42.632 1.25461 0.968552 1.11102 1.11840
run_073 340 76 20.0000 0.7-1 50.0000 10.0275 31.0750 475 137 0.231447 2008-02-27T17:02 47 1085 0.375000 2008-02-29T05:13:43.421 1.68658 -1.68316 1.07927 1.08644
run_073 350 76 10.0000 0.7-1 50.0000 8.96500 28.5175 475 137 0.196447 2008-02-27T17:02 48 1124 0.288158 2008-02-29T03:24:15.000 3.50737 -3.50737 1.50040 1.51037
run_027 300 76 60.0000 0.7-1 50.0000 13.3100 35.6800 475 137 0.214474 2008-03-02T05:02 49 950 0.361842 2008-03-03T19:40:25.263 9.99961 -9.99961 0.565754 0.569513
run_027 310 76 50.0000 0.7-1 50.0000 12.4450 34.3900 475 137 0.111053 2008-03-02T05:02 47 1009 0.243421 2008-03-03T15:35:04.737 14.0921 -14.0921 0.512880 0.516288
run_027 320 60 40.0000 0.7-1 50.0000 11.2635 34.3410 485 141 0.0738333 2008-03-02T05:02 46 1059 0.185000 2008-03-03T12:53:01.000 16.7968 -16.7968 0.434843 0.438512
run_027 330 31 30.0000 0.7-1 50.0000 10.5400 33.7600 517 132 0.0706452 2008-03-02T03:45 47 1108 0.100000 2008-03-03T11:00:29.032 18.6719 -18.6719 0.277342 0.281927
run_027 340 21 20.0000 0.7-1 50.0000 9.65000 30.2900 495 148 0.0623810 2008-03-02T03:45 49 1154 0.100000 2008-03-03T09:25:00.000 20.2624 -20.2624 0.113888 0.116701
run_027 350 26 10.0000 0.7-1 50.0000 8.55000 26.1388 515 139 0.0707692 2008-03-02T03:45 50 1189 0.200000 2008-03-03T08:42:41.538 20.9681 -20.9681 0.163331 0.166566
run_040 280 76 80.0000 0.7-1 50.0000 13.1400 34.1125 475 137 0.304605 2008-03-31T17:02 48 866 0.478948 2008-04-02T11:18:58.421 9.17355 -9.17355 1.09311 1.10037
run_040 290 76 70.0000 0.7-1 50.0000 12.9200 34.5300 475 137 0.280921 2008-03-31T17:02 48 867 0.0539473 2008-04-02T11:14:45.789 9.24395 -9.24395 0.764646 0.769727
run_040 320 8 40.0000 0.7-1 50.0000 11.2800 33.0800 612 61 0.188750 2008-03-31T17:02 47 736 0.500000 2008-04-02T12:50:45.000 7.64125 -7.64125 0.0562222 0.0601041
run_040 330 58 30.0000 0.7-1 50.0000 10.4807 32.7379 462 122 0.300172 2008-03-31T17:02 46 750 0.320690 2008-04-02T16:00:24.828 4.48379 -4.48379 0.654272 0.659986
run_040 340 47 20.0000 0.7-1 50.0000 9.19745 30.8700 494 133 0.323617 2008-03-31T17:02 46 820 0.363830 2008-04-02T12:07:07.660 8.37425 -8.37425 0.646450 0.653438
run_062 330 73 30.0000 0.7-1 50.0000 11.0927 33.5948 466 133 0.472740 2008-04-03T21:02 48 961 0.526027 2008-04-05T16:57:04.932 1.90096 1.34425 1.91822 1.93149
run_062 340 76 20.0000 0.7-1 50.0000 10.1050 30.6750 475 137 0.416710 2008-04-03T21:02 48 1036 0.331579 2008-04-05T14:24:41.053 1.95579 -1.19711 2.10561 2.11960
run_062 350 76 10.0000 0.7-1 50.0000 8.80750 28.3775 475 137 0.358158 2008-04-03T21:02 48 1117 0.142105 2008-04-05T12:13:35.526 3.43211 -3.38289 2.25668 2.27167
run_057 310 7 50.0000 0.7-1 50.0000 11.4400 33.1600 575 54 0.135714 2008-06-28T01:02 46 693 0.100000 2008-06-30T01:00:34.286 8.59429 -8.59429 0.0594876 0.0642540
run_057 320 52 40.0000 0.7-1 50.0000 11.3229 33.5800 464 110 0.307308 2008-06-28T02:20 47 713 0.503846 2008-06-30T02:59:09.231 6.61962 -6.61962 0.811549 0.819466
run_057 330 63 30.0000 0.7-1 50.0000 10.3014 31.9472 478 129 0.293175 2008-06-28T01:02 46 768 0.677778 2008-06-29T23:11:44.762 10.4092 -10.4092 0.594387 0.599162
run_057 340 16 20.0000 0.7-1 50.0000 8.81000 28.6738 610 61 0.115000 2008-06-27T23:45 46 862 0.443750 2008-06-29T15:33:07.500 18.0562 -18.0562 0.278700 0.287840
