run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_073 330 9 30.0000 0.7-1 34.0000 10.0700 32.4500 600 68 0.114444 2008-02-27T17:02 48 755 0.200000 2008-02-29T11:15:20.000 1.86667 -1.86667 0.0754247 0.0800000
run_027 300 72 60.0000 0.7-1 34.0000 12.1000 34.4500 462 130 0.297500 2008-03-02T05:02 45 810 0.440278 2008-03-04T01:38:23.333 16.7839 -16.7839 0.621140 0.625499
run_027 310 76 50.0000 0.7-1 34.0000 12.0400 35.1200 475 137 0.200789 2008-03-02T05:02 47 864 0.355263 2008-03-03T21:51:44.211 20.5612 -20.5612 0.566887 0.570653
run_027 320 65 40.0000 0.7-1 34.0000 11.6200 34.7200 491 138 0.131538 2008-03-02T05:02 48 914 0.296923 2008-03-03T18:45:41.538 23.6617 -23.6617 0.511311 0.515290
run_027 330 52 30.0000 0.7-1 34.0000 10.8300 33.0000 513 138 0.101154 2008-03-02T05:02 49 966 0.200000 2008-03-03T16:13:09.231 26.2048 -26.2048 0.376566 0.380240
run_027 340 36 20.0000 0.7-1 34.0000 8.90472 29.7600 528 130 0.0997222 2008-03-02T05:02 48 1036 0.100000 2008-03-03T14:09:58.333 28.2619 -28.2619 0.349760 0.354721
run_027 350 27 10.0000 0.7-1 34.0000 7.05334 25.2567 529 146 0.0644445 2008-03-02T05:02 46 1087 0.103704 2008-03-03T11:30:13.333 30.9252 -30.9252 0.401612 0.409262
run_040 270 59 90.0000 0.7-1 34.0000 12.3200 31.3497 422 108 0.429831 2008-03-31T17:02 46 750 0.157627 2008-04-02T20:35:33.559 9.11373 -9.11373 1.89768 1.91397
run_040 280 62 80.0000 0.7-1 34.0000 12.4800 32.9129 431 112 0.426613 2008-03-31T17:02 46 761 0.151613 2008-04-02T19:20:23.226 10.3671 -10.3671 1.43746 1.44920
run_040 290 64 70.0000 0.7-1 34.0000 12.2500 33.7900 437 116 0.377656 2008-03-31T17:02 45 759 0.148438 2008-04-02T18:18:15.000 11.4027 -11.4027 0.941937 0.949383
run_040 300 64 60.0000 0.7-1 34.0000 12.9800 35.0400 437 116 0.293438 2008-03-31T18:19 49 740 0.143750 2008-04-02T17:52:07.500 11.8312 -11.8312 0.548454 0.552789
run_040 310 2 50.0000 0.7-1 34.0000 11.2100 34.1400 700 0 1.28000 2008-03-31T17:02 45 664 0.200000 2008-04-02T17:17:00.000 12.4250 -12.4250 0.0850000 0.120208
run_040 320 53 40.0000 0.7-1 34.0000 11.1258 33.8647 403 96 0.366038 2008-03-31T18:19 47 664 0.405660 2008-04-03T00:13:18.113 5.48189 -5.48189 0.889541 0.898054
run_040 330 44 30.0000 0.7-1 34.0000 9.99023 32.2473 435 93 0.310909 2008-03-31T18:19 46 637 0.700000 2008-04-02T23:18:47.727 6.39068 -6.39068 0.463894 0.469257
run_040 340 47 20.0000 0.7-1 34.0000 8.82469 29.3100 384 85 0.524894 2008-03-31T18:19 46 664 0.468085 2008-04-03T04:28:57.447 1.84255 -1.22213 2.00416 2.02583
run_040 350 45 10.0000 0.7-1 34.0000 7.33666 25.2527 378 83 0.544667 2008-03-31T18:19 46 718 0.582222 2008-04-03T04:31:28.000 2.89556 -1.18133 3.37800 3.41617
run_062 340 54 20.0000 0.7-1 34.0000 8.97037 29.9854 406 98 0.460555 2008-04-03T22:19 47 717 0.625926 2008-04-06T03:25:10.000 5.39778 5.39778 1.59741 1.61241
run_062 350 55 10.0000 0.7-1 34.0000 7.33073 26.1927 451 116 0.368545 2008-04-03T22:19 46 774 0.690909 2008-04-05T21:06:07.636 1.08691 -0.921454 0.984368 0.993440
run_057 310 30 50.0000 0.7-1 34.0000 11.7400 35.2500 495 85 0.342333 2008-06-28T02:20 47 599 0.703333 2008-06-30T10:12:20.000 10.9937 -10.9937 0.690321 0.702122
run_057 320 43 40.0000 0.7-1 34.0000 10.9440 33.0700 372 78 0.482093 2008-06-28T02:20 47 615 0.481395 2008-06-30T16:56:19.535 4.25744 -4.25744 1.39668 1.41321
run_057 330 44 30.0000 0.7-1 34.0000 9.90326 31.2174 372 78 0.515349 2008-06-28T02:20 46 639 0.686047 2008-06-30T16:38:27.907 4.55139 -4.55139 1.88050 1.90276
run_057 340 43 20.0000 0.7-1 34.0000 8.67093 28.7061 372 78 0.477907 2008-06-28T02:20 46 674 0.709302 2008-06-30T15:05:43.256 6.09535 -6.09535 2.41697 2.44557
run_043 270 23 90.0000 0.7-1 34.0000 12.1800 31.1243 516 114 0.272174 2008-07-04T22:20 46 590 0.595652 2008-07-07T07:16:31.304 9.60739 -9.60739 1.80854 1.84919
run_043 280 35 80.0000 0.7-1 34.0000 12.2800 32.2800 428 75 0.302000 2008-07-04T22:20 46 584 0.602857 2008-07-07T09:17:42.857 7.58829 -7.58829 1.19181 1.20921
run_043 290 22 70.0000 0.7-1 34.0000 12.2100 32.9100 454 54 0.257273 2008-07-04T22:20 46 576 0.900000 2008-07-07T08:44:32.727 8.14091 -8.14091 0.282085 0.288723
run_043 310 34 50.0000 0.7-1 34.0000 12.2100 33.2800 541 90 0.317647 2008-07-04T22:20 48 749 0.800000 2008-07-06T19:57:03.529 20.9321 -20.9321 0.488682 0.496031
run_043 320 9 40.0000 0.7-1 34.0000 11.9800 33.6400 600 68 0.0833333 2008-07-04T22:20 50 806 0.700000 2008-07-06T15:07:46.667 25.7556 -25.7556 0.0665183 0.0705533
run_043 330 6 30.0000 0.7-1 34.0000 9.99000 31.1900 637 46 0.0400000 2008-07-04T21:02 49 874 0.700000 2008-07-06T10:40:20.000 30.1983 -30.1983 0.0633553 0.0694022
run_043 340 3 20.0000 0.7-1 34.0000 9.04000 27.0600 675 25 0.0233333 2008-07-04T21:02 51 957 0.500000 2008-07-06T06:52:00.000 34.0000 -34.0000 0.00000 0.00000
run_061 300 4 60.0000 0.7-1 34.0000 12.2000 34.1500 700 0 1.59750 2008-07-17T14:20 47 620 0.725000 2008-07-19T16:00:00.000 15.5675 -15.5675 0.116699 0.134753
run_061 310 33 50.0000 0.7-1 34.0000 11.7400 33.3700 458 64 0.328485 2008-07-17T14:20 47 598 0.824242 2008-07-19T23:00:18.182 8.56212 -8.56212 0.688423 0.699096
run_061 320 31 40.0000 0.7-1 34.0000 11.3900 33.0400 363 74 0.490000 2008-07-17T14:20 48 698 0.790000 2008-07-20T04:20:00.000 3.25100 -3.23300 2.09975 2.13564
run_061 330 38 30.0000 0.7-1 34.0000 9.99263 31.4445 359 74 0.378421 2008-07-17T14:20 46 738 0.807894 2008-07-20T00:24:31.579 7.14948 -7.14948 1.73468 1.75797
run_061 340 55 20.0000 0.7-1 34.0000 8.97472 28.4336 409 100 0.587091 2008-07-17T14:20 48 788 0.647273 2008-07-19T20:41:31.636 10.8642 -10.8642 2.77051 2.79605
run_061 350 58 10.0000 0.7-1 34.0000 7.21690 25.1741 419 107 0.572414 2008-07-17T13:02 46 841 0.489655 2008-07-19T18:29:02.069 13.0719 -13.0719 3.47855 3.50893
run_003 340 52 20.0000 0.7-1 34.0000 8.78250 29.5875 400 94 0.420192 2008-09-10T14:19 46 673 0.859615 2008-09-12T21:12:58.846 5.27807 5.27807 1.23742 1.24949
run_003 350 35 10.0000 0.7-1 34.0000 7.01428 25.7503 412 91 0.543429 2008-09-10T13:02 46 747 0.694286 2008-09-12T20:25:24.000 4.48171 4.48171 1.82764 1.85432
run_012 300 4 60.0000 0.7-1 34.0000 12.4600 35.7000 700 0 1.11250 2008-11-09T18:19 47 598 0.700000 2008-11-11T19:26:30.000 15.4300 -15.4300 0.0692820 0.0799999
run_012 310 44 50.0000 0.7-1 34.0000 12.2200 34.3500 375 79 0.411591 2008-11-09T18:19 47 648 0.861363 2008-11-12T04:29:00.000 6.38682 -6.38682 1.31670 1.33192
run_012 320 50 40.0000 0.7-1 34.0000 11.3150 34.2600 394 91 0.517200 2008-11-09T18:19 47 706 0.670000 2008-11-12T01:30:18.000 9.36660 -9.36660 1.62145 1.63791
run_012 330 56 30.0000 0.7-1 34.0000 10.3400 32.5500 412 101 0.464286 2008-11-09T18:19 47 740 0.562500 2008-11-11T21:33:12.857 13.3186 -13.3186 1.40106 1.41374
run_012 340 62 20.0000 0.7-1 34.0000 9.02000 30.1229 431 112 0.417581 2008-11-09T17:02 47 767 0.456452 2008-11-11T18:01:50.323 16.8426 -16.8426 1.34426 1.35523
run_012 350 67 10.0000 0.7-1 34.0000 7.40642 26.1313 447 121 0.359105 2008-11-09T17:02 46 796 0.361194 2008-11-11T15:18:43.881 19.5625 -19.5625 1.51148 1.52289
run_039 270 47 90.0000 0.7-1 34.0000 12.2900 32.2374 514 111 0.268085 2009-01-01T05:02 45 737 0.238298 2009-01-03T02:34:33.191 5.28596 5.28596 1.59164 1.60885
run_039 280 30 80.0000 0.7-1 34.0000 12.6500 33.7560 575 81 0.217333 2009-01-01T05:02 46 762 0.240000 2009-01-02T23:51:20.000 2.56633 2.56633 0.828885 0.843055
run_039 290 33 70.0000 0.7-1 34.0000 12.7200 35.2800 609 60 0.167576 2009-01-01T05:02 46 791 0.118182 2009-01-02T21:55:56.364 0.640909 0.640909 0.350933 0.356374
run_039 300 48 60.0000 0.7-1 34.0000 12.6800 35.3200 561 88 0.181458 2009-01-01T05:02 47 832 0.179167 2009-01-02T20:55:20.000 0.368125 -0.368125 0.190007 0.192018
